Sie lachte mich aus.	She laughed at me.
Das war eine Lüge.	That was a lie.
Versucht es doch!	Give it a try.
Kann er Japanisch sprechen?	Can he speak Japanese?
Er kann Japanisch sprechen.	He can speak Japanese.
Ich habe einen Pass.	I have a passport.
Er kann gut singen.	He is good at singing.
Die Mädchen tanzten zu Musik.	The girls danced to music.
Wir sind hungrig.	We are hungry.
Der Mann schob sie zur Seite.	The man shoved her aside.
Wo frühstücken wir heute?	Where shall we have breakfast today?
Du musst geduldig sein.	You have to be patient.
Ich glaube, ich hab's.	I think I've got it.
Er war nicht erfreut.	He was not pleased.
Du bist so süß!	You are so sweet!
Schreibst du auf Französisch?	Do you write in French?
Sie führt ein gesundes Leben.	She has a healthy lifestyle.
Bitte hilf mir beim Kochen.	Please help me cook.
Ich war noch nie verliebt.	I've never been in love before.
Ich liebe seine Tochter.	I love his daughter.
Ich will helfen.	I want to help.
Wartet mal kurz.	Wait a moment.
Komm ins Zimmer.	Come into the room.
Wer rannte?	Who ran?
Wie fühlst du dich jetzt?	How do you feel now?
Ich mag die grüne Farbe.	I like the green colour.
Warum hassen mich alle?	Why does everyone hate me?
Sie hat nicht deine Geduld.	She doesn't have as much patience as you do.
Warum siehst du nach unten?	Why are you looking down?
Egal wie viel es kostet.	No matter how much it costs.
Gut, nimm es.	Well, take it.
Ich möchte Ski fahren lernen.	I want to learn how to ski.
Wir waren einer Meinung.	We were as one in our opinion.
Ich hatte einen Unfall.	I had an accident.
Ein Sturm zieht auf.	We are going to have a storm.
Jim mag den Arzt.	Jim likes the doctor.
Darf ich mit dir tanzen?	May I dance with you?
Er hat scharfe Augen.	He has a good eye sight.
Sprich mich nicht an!	Don't talk to me.
Das sollte jedem klar sein.	This should be clear to everyone.
Meine Frau war eine Smith.	My wife was a Smith.
Der Wind weht sehr stark.	It's blowing very hard.
Liebe macht blind.	Love is blind.
Mögen Sie Äpfel?	Do you like apples?
Sie mögen Äpfel.	They like apples.
Sie hat wenige Freunde.	She has few friends.
Das stimmt, sagte John.	That's right, said John.
Ken kann gut schwimmen.	Ken is good at swimming.
Er sieht gesund aus.	He looks healthy.
Sie sah mich amüsiert an.	She looked at me in amusement.
Wohin will er gehen?	Where does he want to go?
Sie lieben einander.	They love each other.
Du bist so hübsch!	You're so beautiful.
Ich erlaube dir zu gehen.	I'm allowing you to go.
Sie traf ihn am Strand.	She met him on the beach.
Sie trug einen schwarzen Hut.	She was wearing a black hat.
Es war die Kosten wert.	It was well worth the cost.
Sie überraschte mich.	She surprised me.
Ich vertraue ihm.	I have trust in him.
Mögen Sie Musik?	Are you fond of music?
Einige kamen zu spät.	Some were late.
Ich sag's ja nur!	I'm just saying!
Eilig verließ sie ihr Zimmer.	She left her room in haste.
Kannst du dieses Lied singen?	Can you sing this song?
Wann seid ihr beschäftigt?	When are you busy?
Sie blickte zu ihm hoch.	She looked up at him.
Sie waren äußerst kalt.	They were really cold.
Tu, was du tun musst!	Do what you have to do.
Sie sind nervös.	You're nervous.
Magst du diese Farbe?	Do you like this color?
Ich bereue es nicht.	I don't regret it.
Wo finde ich Obst und Gemüse?	Where can I find the produce?
Wir kamen zur selben Zeit an.	We got there at the same time.
Warst du schon mal in Mexiko?	Have you ever been to Mexico?
Ich freue mich, es zu hören!	I'm glad to hear it!
Sie wollte Sängerin werden.	She wanted to be a singer.
Ich würde geliebt werden.	I would be loved.
Er tanzte im Feuer.	He danced in the fire.
Ich bin kein Bot.	I'm not a bot.
Der Regen dauerte vier Tage.	The rain lasted four days.
Wie alt schätzen Sie sie?	How old do you think she is?
Meine Hände sind kalt.	My hands are cold.
Was kochen Sie?	What are you cooking?
Ich will jemanden zum Reden.	I want someone to talk to.
Ich glaubte ihm jedes Wort.	I believed every word he said.
Du kommst spät zum Fest.	You're late to the party.
Er ergriff ihre Hand.	He grabbed her hand.
Sie pflückte mir einen Apfel.	She picked me an apple.
Das Glas stürzte zu Boden.	The glass crashed to the ground.
Sie standen unter der Dusche.	They were in the shower.
Lebst du noch in Boston?	Are you still living in Boston?
Der Kurs fängt um zehn an.	The class start at ten.
Sei nicht dumm.	Don't be a fool.
Was für ein lustiger Mann!	What a funny man!
Was machst du sonntags?	What do you do on Sundays?
Das habe ich erwartet!	I was expecting it!
Warum denken Sie das?	Why do you think that?
Wir fangen sofort an.	We'll begin immediately.
Wir zählen auf dich.	We count on you.
Sag mir die richtige Antwort.	Tell me the right answer to it.
Es geht auf Weihnachten zu.	It's coming up for Christmas.
Baseball gefällt ihm sehr.	He likes baseball very much.
Mein Onkel wohnt in London.	My uncle lives in London.
Er baute sich ein Haus.	He built himself a house.
Ich denke, du liegst falsch.	I think that you're wrong.
Du musst mir nicht glauben.	You don't have to believe me.
Ich rieche mit meiner Nase.	I smell with my nose.
Pass auf dich auf.	Take care of yourself.
Pass auf dich auf!	Take care!
Sie dachte an nichts Böses.	She thought no harm.
Sag nur ja oder nein.	Just say yes or no.
Er war sehr erfreut.	He was very happy.
Kann ich euch das glauben?	Can I take your word for it?
Er war noch nie verliebt.	He's never been in love before.
Ich will einen Computer.	I want a computer.
Kennen Sie Ihre Größe?	Do you know your size?
Hört auf, euch zu beschweren!	Stop carping!
Wo sind Sie denn gewesen?	So where were you?
Wohin ging er gestern?	Where did he go yesterday?
Wie hübsch du bist!	How pretty you are!
Wer liest?	Who is reading?
Sie quälte sich aus dem Bett.	She dragged herself out of bed.
Also muss ich hier bleiben.	Hence, I shall have to stay here.
Ich bin verrückt nach Golf.	I am crazy about golf.
Wie alt schätzen Sie mich?	How old do you think I am?
Ich besitze diesen Mann.	I own this man.
Ich wärme mich am Feuer.	I am warming myself by the fireplace.
Ich sollte fragen, oder?	I should ask, shouldn't I?
Ich habe wenige Freunde.	I have few friends.
Sie frühstückt oft dort.	She often eats breakfast there.
Du bist doch Lehrerin, oder?	You are a schoolteacher, aren't you?
Sie küssten sich im Regen.	They kissed in the rain.
Ich werde das nicht öffnen.	I'm not going to open this.
Die Milch schmeckt sauer.	The milk tastes sour.
Wohin werden Sie gehen?	Where will you go?
Es könnte tödlich sein.	It could be fatal.
Ich wollte nein sagen.	I wanted to say no.
Er stammt aus dieser Stadt.	He is from this town.
Der Student hob die Hand.	The student raised his hand.
Er war an jenem Tag verwirrt.	He was bewildered on that day.
Wir spielen gern Fußball.	We like playing soccer.
Das Haus steht leer.	The house is vacant.
Ich spiele im Park.	I am playing in the park.
Der Boden war kalt.	The floor was cold.
Bob kann auch Auto fahren.	Bob can drive a car, too.
Ich will eine neue Küche.	I want a new kitchen.
Warum fragen Sie mich das?	Why are you asking me this?
Ihre Haare sind lang.	Her hair is long.
Nun weiß ich, woran ich bin!	Now I know my situation!
Er hat Furcht vor dem Tod.	He is afraid of death.
Sie haben sie gut behandelt.	They have treated her well.
Das steht nicht zum Verkauf.	It's not for sale.
Du musst deine Pflicht tun.	You must perform your duty.
Sie trägt ein blaues Kleid.	She is wearing a blue dress.
Es gab einen Unfall.	There's been an accident.
Er hatte einen Unfall.	He met with a traffic accident.
Komm und hilf mir!	Come to help me.
Er vergaß alle seine Freunde.	He forgot all of his friends.
So hat er mich behandelt.	This is the way he treated me.
Bitte bleiben Sie zurück.	Stand back, please.
Der Dieb rannte schnell.	The thief ran fast.
Sie unterrichtet mich.	She is teaching me.
Sie kann Eis laufen.	She is able to skate.
Trinken Sie Kaffee?	Do you drink coffee?
Sein Sohn sitzt.	His son is serving his sentence.
Nein, gar nicht.	No, not at all.
Du trinkst Tee.	You drink tea.
Du scheinst recht zu haben.	It looks as if you're right.
Maria hängt die Wäsche auf.	Mary is hanging up the washing.
Ich hoffe, ihr wisst das.	I hope you know that.
Ich weiß, was ihr meint.	I know what you mean.
Trage es dem Neuen auf!	Make the new guy do it.
Dies sind nicht deine Stühle.	Those are not your chairs.
Ken spielt jeden Tag Fußball.	Ken plays soccer every day.
Rieche mal an dieser Blume!	Smell this flower.
Er schien hungrig zu sein.	He appeared hungry.
Ich fühle deinen Schmerz.	I feel your pain.
Wann hast du Pause?	What time do you have a break?
Er geht gern auf Reisen.	He has a great fancy for travelling.
Der Dieb entkam mit dem Geld.	The thief got away with the money.
Was wolltest du mir sagen?	What did you want to tell me?
Freut mich, das zu hören.	I'm glad to hear that.
Wir bleiben lieber hier.	We prefer to stay here.
Was hab ich dir gesagt?	Didn't I tell you so?
Wer brach in Panik aus?	Who panicked?
Es war der Mühe wert.	It was well worth the trouble.
Da bellt ein Hund.	There's a dog barking there.
Gott, höre mich!	God, hear me!
Frauen und Kinder zuerst!	Women and children first!
Ich sah nichts außer Nebel.	I could see nothing but fog.
Warst du jemals in Paris?	Have you ever been to Paris?
Alle waren zufrieden.	All were satisfied.
Dein Wissen überrascht mich.	Your knowledge surprises me.
Ich habe dich erwartet.	I have been expecting you.
Sie waren beschäftigt.	They have been busy.
Waren Sie beschäftigt?	Were you busy?
Habt ihr Hunger?	Are you hungry?
Wer blieb?	Who stayed?
Die Puppe lag auf dem Boden.	The doll lay on the floor.
Er schien ehrlich zu sein.	He appeared honest.
Sie kommen spät zum Fest.	You're late to the party.
Er spielt Gitarre.	He plays the guitar.
Ja, komm bitte.	Yes, please come.
Was meinst du?	What do you mean?
Diese Häuser sind groß.	Those houses are big.
Ich wünsche dir Glück.	I wish you luck.
Ich tue es, weil ich muss.	I do it because I have to.
Ich werde sie sofort anrufen.	I'll call her immediately.
Sprich nicht vor ihm darüber!	Don't talk about it in front of him.
Ich färbe mir gerne das Haar.	I like to dye my hair.
Du bist nervös.	You're nervous.
Wo wart ihr?	Where were you?
Sie können es nicht glauben.	They can't believe it.
Sie lehnte den Vorschlag ab.	She did not agree to the proposal.
Wir aßen ein paar Äpfel.	We ate some apples.
Du wirst es schaffen.	You'll be OK.
Das will ich am meisten.	That's what I want most.
Das war hart wie Stein.	It was hard as rock.
Mach keinen Lärm.	Don't make noise.
Mach keinen Lärm!	Don't make noise!
Fandest du etwas in dem Raum?	Did you find anything in the room?
Er hat wenige Freunde.	He has few friends.
Ich bin nicht sicher, warum.	I'm not sure why.
Er sah hoch zur Decke.	He looked up at the ceiling.
Bist du gut in Mathematik?	Are you good at mathematics?
Denke nicht einmal daran!	Don't even think about it.
Wir trafen uns im Winter.	We met in winter.
Ich bin auch fremd hier.	I'm a stranger here myself.
Warum sind Sie so traurig?	Why are you so sad?
Kann ich Ihnen das glauben?	Can I take your word for it?
Da kommt meine Familie her.	That's where my family is from.
Sie liebt Katzen.	She adores cats.
Kennst du sie überhaupt?	Do you know her at all?
Tu es mit mir.	Do it with me.
Sie haben ein rotes Gesicht.	Your face is red.
Sie isst wie ein Schwein.	She eats like a pig.
Wir verschwenden unsere Zeit.	We're wasting time.
Wann gingen Sie nach London?	When did you go to London?
Sie hat keinen Rechner.	She doesn't have a computer.
Wir liefen in den Park.	We ran in the park.
Warum nicht morgen?	Why not tomorrow?
Ich rieche nichts.	I can't smell anything.
Sie mögen Obst.	You like fruit.
Hör auf, grausam zu sein!	Stop being cruel.
Ich bleibe lieber alleine.	I prefer to be alone.
Was er sagte, zählt nicht.	What he said counts for nothing.
Ich starrte die Decke an.	I stared at the ceiling.
Kochen Sie gerne?	Do you like to cook?
Mach es kleiner.	Make it smaller.
Tu das für mich!	Do that for me.
Könntest du mir Feuer geben?	Give me a light, would you?
Darf ich Englisch sprechen?	Can I speak in English?
Alle sind beschäftigt.	Everyone's busy.
Wartet mal!	Wait up.
Sie trug ein rotes Kleid.	She wore a red dress.
7	es	Das ist es.	That's the one.	Das ist _____.	Das ist <b>es</b>.
16	was	Was hat sie?	What does she have?	_____ hat sie?	<b>Was</b> hat sie?
17	habe	Was habe ich?	What do I have?	Was _____ ich?	Was <b>habe</b> ich?
23	wie	Wie ist er?	What is he like?	_____ ist er?	<b>Wie</b> ist er?
25	eine	Ich habe eine.	I have one.	Ich habe _____.	Ich habe <b>eine</b>.
31	haben	Haben sie das?	Do they have that?	_____ sie das?	<b>Haben</b> sie das?
31	haben	Was haben Sie an?	What are you wearing?	Was _____ Sie an?	Was <b>haben</b> Sie an?
34	von	Es ist nicht von mir.	It's not from me.	Es ist nicht _____ mir.	Es ist nicht <b>von</b> mir.
35	einen	Haben Sie einen?	Do you have one?	Haben Sie _____?	Haben Sie <b>einen</b>?
36	für	Das ist für Sie.	This is for you.	Das ist _____ Sie.	Das ist <b>für</b> Sie.
38	so	Das ist so.	That's the way.	Das ist _____.	Das ist <b>so</b>.
39	sein	Das kann sein.	That's possible.	Das kann _____.	Das kann <b>sein</b>.
40	dich	Das ist für dich.	This is for you.	Das ist für _____.	Das ist für <b>dich</b>.
43	hast	Hast du sie?	Do you have them?	_____ du sie?	<b>Hast</b> du sie?
46	noch	Hast du es noch?	Do you still have it?	Hast du es _____?	Hast du es <b>noch</b>?
46	noch	Sie ist noch nicht auf.	She is not up yet.	Sie ist _____ nicht auf.	Sie ist <b>noch</b> nicht auf.
48	hier	Er ist hier!	Here he is!	Er ist _____!	Er ist <b>hier</b>!
51	uns	Es ist an uns.	It's up to us.	Es ist an _____.	Es ist an <b>uns</b>.
54	etwas	Ich habe etwas für dich.	I have something for you.	Ich habe _____ für dich.	Ich habe <b>etwas</b> für dich.
56	meine	Das sind meine.	These are mine.	Das sind _____.	Das sind <b>meine</b>.
56	meine	Ich meine es so!	I mean it!	Ich _____ es so!	Ich <b>meine</b> es so!
57	warum	Warum ist das so?	Why is that?	_____ ist das so?	<b>Warum</b> ist das so?
58	weiß	Es ist weiß.	It's white.	Es ist _____.	Es ist <b>weiß</b>.
58	weiß	Ich weiß das.	I know this.	Ich _____ das.	Ich <b>weiß</b> das.
60	tun	Das tun sie.	That's what they do.	Das _____ sie.	Das <b>tun</b> sie.
63	mehr	Er ist nicht mehr hier.	He is no longer here.	Er ist nicht _____ hier.	Er ist nicht <b>mehr</b> hier.
63	mehr	Ich habe noch mehr.	I've got more.	Ich habe noch _____.	Ich habe noch <b>mehr</b>.
64	gehen	Das wird gehen.	That'll do.	Das wird _____.	Das wird <b>gehen</b>.
64	gehen	Wir gehen aus.	We're going out.	Wir _____ aus.	Wir <b>gehen</b> aus.
65	schon	Das weiß ich schon.	I know that already.	Das weiß ich _____.	Das weiß ich <b>schon</b>.
65	schon	Ist sie schon hier?	Is she here yet?	Ist sie _____ hier?	Ist sie <b>schon</b> hier?
66	gut	Er ist gut.	He's good.	Er ist _____.	Er ist <b>gut</b>.
67	vor	Was hat er vor?	What does he intend to do?	Was hat er _____?	Was hat er <b>vor</b>?
68	bitte	Bitte gehen Sie.	Please go.	_____ gehen Sie.	<b>Bitte</b> gehen Sie.
68	bitte	Bitte sehr!	Here you are.	_____ sehr!	<b>Bitte</b> sehr!
69	werden	Was werden sie tun?	What will they do?	Was _____ sie tun?	Was <b>werden</b> sie tun?
69	werden	Wir werden gehen.	We're going to go.	Wir _____ gehen.	Wir <b>werden</b> gehen.
72	keine	Warum hast du keine?	Why don't you have one?	Warum hast du _____?	Warum hast du <b>keine</b>?
73	nichts	Das ist nichts.	This is nothing.	Das ist _____.	Das ist <b>nichts</b>.
73	nichts	Ich habe nichts.	I don't have anything.	Ich habe _____.	Ich habe <b>nichts</b>.
76	immer	Es ist immer so.	It's always like that.	Es ist _____ so.	Es ist <b>immer</b> so.
76	immer	Ich will noch immer gehen.	I still want to go.	Ich will noch _____ gehen.	Ich will noch <b>immer</b> gehen.
77	muss	Muss ich gehen?	Do I have to go?	_____ ich gehen?	<b>Muss</b> ich gehen?
77	muss	So muss es sein.	That's how it should be.	So _____ es sein.	So <b>muss</b> es sein.
79	diese	Diese sind gut.	These are good.	_____ sind gut.	<b>Diese</b> sind gut.
80	viel	Das ist viel!	That's a lot!	Das ist _____!	Das ist <b>viel</b>!
80	viel	Ich weiß zu viel.	I know too much.	Ich weiß zu _____.	Ich weiß zu <b>viel</b>.
81	wo	Wo bin ich?	Where am I?	_____ bin ich?	<b>Wo</b> bin ich?
82	seine	Die ist meine, nicht seine.	It's mine, not his.	Die ist meine, nicht _____.	Die ist meine, nicht <b>seine</b>.
83	man	Das weiß man.	That's common knowledge.	Das weiß _____.	Das weiß <b>man</b>.
84	nur	Er, und nur er, muss gehen.	He, and he alone, must go.	Er, und _____ er, muss gehen.	Er, und <b>nur</b> er, muss gehen.
84	nur	Ich weiß nur das.	I know only this.	Ich weiß _____ das.	Ich weiß <b>nur</b> das.
85	dieses	Ich will dieses.	I want this one.	Ich will _____.	Ich will <b>dieses</b>.
86	ihm	Das hat nichts mit ihm zu tun.	That has nothing to do with him.	Das hat nichts mit _____ zu tun.	Das hat nichts mit <b>ihm</b> zu tun.
87	machen	Das machen wir!	We'll do that.	Das _____ wir!	Das <b>machen</b> wir!
87	machen	Machen wir es auf.	Let's open it.	_____ wir es auf.	<b>Machen</b> wir es auf.
89	können	Können Sie gehen?	Can you walk?	_____ Sie gehen?	<b>Können</b> Sie gehen?
89	können	Wir können das gut.	We're good at it.	Wir _____ das gut.	Wir <b>können</b> das gut.
90	nie	Ich möchte das nie mehr tun.	I don't ever want to do this again.	Ich möchte das _____ mehr tun.	Ich möchte das <b>nie</b> mehr tun.
90	nie	Man weiß nie.	You never know.	Man weiß _____.	Man weiß <b>nie</b>.
91	über	Ich weiß viel über dich.	I know a lot about you.	Ich weiß viel _____ dich.	Ich weiß viel <b>über</b> dich.
92	zeit	Es wird Zeit.	It's about time.	Es wird _____.	Es wird <b>Zeit</b>.
92	zeit	Wie viel Zeit hast du?	How long do you have?	Wie viel _____ hast du?	Wie viel <b>Zeit</b> hast du?
93	sagen	Bitte sagen Sie es mir.	Please, tell me.	Bitte _____ Sie es mir.	Bitte <b>sagen</b> Sie es mir.
93	sagen	Nichts sagen!	Don't say anything!	Nichts _____!	Nichts <b>sagen</b>!
94	euch	Was ist mit euch?	How about you?	Was ist mit _____?	Was ist mit <b>euch</b>?
95	bei	Bist du bei mir?	Are you with me?	Bist du _____ mir?	Bist du <b>bei</b> mir?
96	heute	Heute habe ich Zeit.	I'm free today.	_____ habe ich Zeit.	<b>Heute</b> habe ich Zeit.
97	am	Er ist am Gehen.	He's about to leave.	Er ist _____ Gehen.	Er ist <b>am</b> Gehen.
98	würde	Ich würde es tun.	I'd do it.	Ich _____ es tun.	Ich <b>würde</b> es tun.
99	da	Bist du da?	Are you there?	Bist du _____?	Bist du <b>da</b>?
99	da	Ist er schon da?	Has he arrived yet?	Ist er schon _____?	Ist er schon <b>da</b>?
100	mal	Ich muss mal.	I need to wash my hands.	Ich muss _____.	Ich muss <b>mal</b>.
100	mal	Sagen Sie das nicht noch mal!	Don't repeat that.	Sagen Sie das nicht noch _____!	Sagen Sie das nicht noch <b>mal</b>!
101	deine	Das sind deine.	These are yours.	Das sind _____.	Das sind <b>deine</b>.
105	gerne	Ich bin gerne hier.	I like to be here.	Ich bin _____ hier.	Ich bin <b>gerne</b> hier.
106	alle	Das machen alle so.	Everyone does it.	Das machen _____ so.	Das machen <b>alle</b> so.
106	alle	Das sagen sie alle.	That's what they all say.	Das sagen sie _____.	Das sagen sie <b>alle</b>.
107	geld	Er hat Geld.	He has money.	Er hat _____.	Er hat <b>Geld</b>.
109	aber	Ich muss nicht gehen, aber du.	I don't have to go, but you do.	Ich muss nicht gehen, _____ du.	Ich muss nicht gehen, <b>aber</b> du.
110	ihre	Das ist ihre.	This is theirs.	Das ist _____.	Das ist <b>ihre</b>.
111	alles	Alles ist aus.	Everything is gone.	_____ ist aus.	<b>Alles</b> ist aus.
111	alles	Für euch tun wir alles.	We will do anything for you.	Für euch tun wir _____.	Für euch tun wir <b>alles</b>.
112	kein	Er hat kein Geld.	He has no money.	Er hat _____ Geld.	Er hat <b>kein</b> Geld.
114	ihnen	Ich habe nichts mit ihnen zu tun.	I have nothing to do with them.	Ich habe nichts mit _____ zu tun.	Ich habe nichts mit <b>ihnen</b> zu tun.
114	ihnen	Was ist mit Ihnen?	What about you?	Was ist mit _____?	Was ist mit <b>Ihnen</b>?
115	dieser	Dieser ist für uns.	This one is for us.	_____ ist für uns.	<b>Dieser</b> ist für uns.
117	einer	Du bist einer von uns.	You are one of us.	Du bist _____ von uns.	Du bist <b>einer</b> von uns.
118	morgen	Es ist Morgen.	It's morning.	Es ist _____.	Es ist <b>Morgen</b>.
118	morgen	Was ist mit morgen?	How about tomorrow?	Was ist mit _____?	Was ist mit <b>morgen</b>?
119	jetzt	Jetzt oder nie!	It's now or never.	_____ oder nie!	<b>Jetzt</b> oder nie!
119	jetzt	Was machen wir jetzt?	Where do we go from here, now?	Was machen wir _____?	Was machen wir <b>jetzt</b>?
120	boston	Wie ist Boston?	What's Boston like?	Wie ist _____?	Wie ist <b>Boston</b>?
122	französisch	Wie war Französisch?	How was the French class?	Wie war _____?	Wie war <b>Französisch</b>?
123	gerade	Gerade habe ich keine Zeit.	Right now I don't have any time.	_____ habe ich keine Zeit.	<b>Gerade</b> habe ich keine Zeit.
124	sehen	Sehen Sie das?	Do you see that?	_____ Sie das?	<b>Sehen</b> Sie das?
124	sehen	Sie sehen zu.	They're watching.	Sie _____ zu.	Sie <b>sehen</b> zu.
125	buch	Es ist ein Buch.	It is a book.	Es ist ein _____.	Es ist ein <b>Buch</b>.
132	mag	Ich mag das.	I like this.	Ich _____ das.	Ich <b>mag</b> das.
134	einmal	Ich war einmal so wie du.	I used to be like you.	Ich war _____ so wie du.	Ich war <b>einmal</b> so wie du.
134	einmal	Machen Sie es noch einmal!	Do it once again.	Machen Sie es noch _____!	Machen Sie es noch <b>einmal</b>!
135	müssen	Ich hätte das nicht sagen müssen.	I should not have said that.	Ich hätte das nicht sagen _____.	Ich hätte das nicht sagen <b>müssen</b>.
135	müssen	Müssen Sie gehen?	Do you need to go?	_____ Sie gehen?	<b>Müssen</b> Sie gehen?
136	wissen	Gut zu wissen.	That's good to know.	Gut zu _____.	Gut zu <b>wissen</b>.
137	wer	Wer ist da?	Who is there?	_____ ist da?	<b>Wer</b> ist da?
138	leben	Ich kann gut leben.	I make a good living.	Ich kann gut _____.	Ich kann gut <b>leben</b>.
138	leben	Wo leben sie?	Where are they living?	Wo _____ sie?	Wo <b>leben</b> sie?
139	helfen	Helfen Sie uns!	Help us.	_____ Sie uns!	<b>Helfen</b> Sie uns!
139	helfen	Wie kann ich dir helfen?	What can I do for you?	Wie kann ich dir _____?	Wie kann ich dir <b>helfen</b>?
140	kommen	Kommen Sie?	Are you coming?	_____ Sie?	<b>Kommen</b> Sie?
141	arbeit	An die Arbeit!	Get to work.	An die _____!	An die <b>Arbeit</b>!
141	arbeit	Ich will Arbeit.	I want a job.	Ich will _____.	Ich will <b>Arbeit</b>.
142	wirklich	Bist du es wirklich?	Is it really you?	Bist du es _____?	Bist du es <b>wirklich</b>?
142	wirklich	Es geht mir wirklich gut!	I feel perfectly fine.	Es geht mir _____ gut!	Es geht mir <b>wirklich</b> gut!
144	macht	Macht schon!	Come on!	_____ schon!	<b>Macht</b> schon!
144	macht	Was macht die Arbeit?	How's your job going?	Was _____ die Arbeit?	Was <b>macht</b> die Arbeit?
144	macht	Was macht er?	What is he doing?	Was _____ er?	Was <b>macht</b> er?
145	dein	Das ist dein Tun.	This is your doing.	Das ist _____ Tun.	Das ist <b>dein</b> Tun.
147	zur	Ich muss zur Arbeit.	I need to go to work.	Ich muss _____ Arbeit.	Ich muss <b>zur</b> Arbeit.
148	glaube	Ich glaube dir.	I believe you.	Ich _____ dir.	Ich <b>glaube</b> dir.
149	gesehen	Hast du es gesehen?	Have you watched it?	Hast du es _____?	Hast du es <b>gesehen</b>?
149	gesehen	Wurde sie gesehen?	Was she seen?	Wurde sie _____?	Wurde sie <b>gesehen</b>?
150	wann	Wann gehen wir?	When do we go?	_____ gehen wir?	<b>Wann</b> gehen wir?
150	wann	Wann kannst du kommen?	When can you come?	_____ kannst du kommen?	<b>Wann</b> kannst du kommen?
151	wieder	Die kommen wieder.	They're coming again.	Die kommen _____.	Die kommen <b>wieder</b>.
151	wieder	Macht das nicht wieder!	Don't do that anymore.	Macht das nicht _____!	Macht das nicht <b>wieder</b>!
152	sprechen	Ich kann sprechen.	I'm able to speak.	Ich kann _____.	Ich kann <b>sprechen</b>.
152	sprechen	Wir können sprechen.	We can talk.	Wir können _____.	Wir können <b>sprechen</b>.
153	tag	Wie war dein Tag?	How was your day?	Wie war dein _____?	Wie war dein <b>Tag</b>?
155	haus	Ich bin im Haus.	I am in the house.	Ich bin im _____.	Ich bin im <b>Haus</b>.
156	auto	Er hat ein Auto.	He has a car.	Er hat ein _____.	Er hat ein <b>Auto</b>.
157	essen	Ich will essen.	I want to eat.	Ich will _____.	Ich will <b>essen</b>.
157	essen	Wo ist mein Essen?	Where's my food?	Wo ist mein _____?	Wo ist mein <b>Essen</b>?
158	vater	Mein Vater ist nicht hier.	My dad's not here.	Mein _____ ist nicht hier.	Mein <b>Vater</b> ist nicht hier.
158	vater	Wo ist Vater?	Where is Father?	Wo ist _____?	Wo ist <b>Vater</b>?
159	lange	Er macht nicht mehr lange.	He's on his last legs.	Er macht nicht mehr _____.	Er macht nicht mehr <b>lange</b>.
159	lange	Wie lange habe ich?	How long do I have?	Wie _____ habe ich?	Wie <b>lange</b> habe ich?
161	auch	Ich mag es auch.	I like it, too.	Ich mag es _____.	Ich mag es <b>auch</b>.
161	auch	So gut sind sie auch nicht.	They aren't that good.	So gut sind sie _____ nicht.	So gut sind sie <b>auch</b> nicht.
162	meinen	Hast du meinen Vater gesehen?	Did you see my father?	Hast du _____ Vater gesehen?	Hast du <b>meinen</b> Vater gesehen?
162	meinen	Meinen sie uns?	Are they looking at us?	_____ sie uns?	<b>Meinen</b> sie uns?
163	lassen	Lassen Sie mich gehen!	Let me go!	_____ Sie mich gehen!	<b>Lassen</b> Sie mich gehen!
163	lassen	Willst du das so lassen?	Do you want to leave it like that?	Willst du das so _____?	Willst du das so <b>lassen</b>?
164	schule	Die Schule ist aus.	School is over.	Die _____ ist aus.	Die <b>Schule</b> ist aus.
165	gemacht	Hast du es gemacht?	Did you make it?	Hast du es _____?	Hast du es <b>gemacht</b>?
166	besser	Um so besser!	That's even better.	Um so _____!	Um so <b>besser</b>!
168	gestern	Ich war gestern hier.	I came here yesterday.	Ich war _____ hier.	Ich war <b>gestern</b> hier.
169	einfach	Du kannst nicht einfach gehen.	You can't just go.	Du kannst nicht _____ gehen.	Du kannst nicht <b>einfach</b> gehen.
169	einfach	Es ist einfach.	It's easy.	Es ist _____.	Es ist <b>einfach</b>.
171	bis	Bis morgen!	See you again tomorrow.	_____ morgen!	<b>Bis</b> morgen!
171	bis	Wir machen heute bis hier.	We'll stop here for today.	Wir machen heute _____ hier.	Wir machen heute <b>bis</b> hier.
172	uhr	Deine Uhr geht vor.	Your watch gains time.	Deine _____ geht vor.	Deine <b>Uhr</b> geht vor.
172	uhr	Geht die Uhr?	Is that clock going?	Geht die _____?	Geht die <b>Uhr</b>?
174	ob	Ich weiß nicht, ob er es weiß.	I don't know if he knows it.	Ich weiß nicht, _____ er es weiß.	Ich weiß nicht, <b>ob</b> er es weiß.
174	ob	Wir tun einfach so, als ob.	We're just pretending.	Wir tun einfach so, als _____.	Wir tun einfach so, als <b>ob</b>.
175	mann	Ich bin ein Mann.	I am a man.	Ich bin ein _____.	Ich bin ein <b>Mann</b>.
175	mann	Wo ist mein Mann?	Where's my husband?	Wo ist mein _____?	Wo ist mein <b>Mann</b>?
177	doch	Das habe ich doch schon gesagt.	I already said that.	Das habe ich _____ schon gesagt.	Das habe ich <b>doch</b> schon gesagt.
177	doch	Das ist doch was!	This really is something.	Das ist _____ was!	Das ist <b>doch</b> was!
177	doch	Du kannst das doch, oder?	You can do it, can't you?	Du kannst das _____, oder?	Du kannst das <b>doch</b>, oder?
