active	aktiv<br>aktiver<br>am aktivsten 
the box, case	die Box -en <br>die Kiste -n <br>der Kasten Kästen 
pitiful, miserable	erbärmlich <br>miserabel <br>elend 
scattered <br>absent-minded, <br>distracted 	zerstreut 
accessable, approachable	zugänglich 
accomplished, perfect	vollendet 
familiar, accustomed 	vertraut <br>gewohnt 
opposite<br>across from 	gegenüber 
adjustable	regulierbar 
sociable, <br>agreeable, <br>companionable	gesellig, <br>kontaktfreudig, <br>umgänglich 
affected, pretentious	affig Ich finde sein Verhalten ausgesprochen affig. 
against, toward, versus, anti, contrary to	gegen 
aggravating, complicating	erschwerend 
agreed <br>united	einig <br>vereint 
agreed <br>arranged	abgemacht <br>vereinbart 
to be aimed <br>targeted <br>specifically	gezielt 
all of you/them	allesamt Ihr seid allesamt Betrüger! 
almost, <br>more or less, <br>virtually	quasi <br>mehr oder weniger <br>nahezu <br>fast Das ist quasi das Gleiche. 
along, alongside	entlang 
although, <br>while, <br>notwithstanding, <br>even though	obwohl <br>obgleich <br>obschon 
ambiguous	zweideutig 
anyhow, <br>anyway	sowieso <br>ohnehin Ich werde das sowieso machen. 
to frustrate	frustrieren 
random <br>indiscriminate <br>arbitrary <br>haphazard 	willkürlich 
artificial, synthetic	künstlich 
as follows	folgendermaßen 
in/with regard to, as regards,<br>in/with reference to, <br>in/with respect to, <br>in terms of	bezüglich [präp]<br>in Bezug auf [noun]<br>in puncto [präp] Bezüglich ihrer Frage kann ich nur sagen, dass ...<br>In Bezug auf seinen Beruf ist er sehr gewissenhaft. <br>In puncto Sauberkeit ist er sehr pingelig. 
as well as, <br>as soon as, <br>plus	sowie Äpfel, Birnen sowie Aprikosen mag ich sehr gern. 
aside	beiseite 
to assume 	annehmen 
astonishing, <br>amazing	erstaunlich <br>verblüffend 
at home	zuhause, <br>zu Hause, <br>daheim Bist du morgen zuhause? [adv] <br>Bist du morgen zu Hause? [noun] 
at midday	mittags Die Deutschen essen mittags warm. 
at, around, in order to, about	um Das wird so um die 500 Euro kosten. [adv] <br>Sie rief an, um sich zu entschuldigen. = damit. [conj] <br>Die Vorstellung beginnt um 6 Uhr. [präp] 
attractive 	attraktiv <br>reizend 
to have averted <br>turned away	abgewendet <br>abgewandt 
bad, dreadful	schlimm Das war schlimm.<br />Es hätte schlimmer kommen können. 
bald, bare, barren, bleak	kahl 
barely, merely, just, only	kaum <br>bloß Ich habe vor der Prüfung kaum geschlafen. 
battered, beat up	zugerichtet 
ph: better than ever	besser denn je 
compulsory, <br>binding, <br>obligatory	verbindlich 
bitter	bitter, herb 
ph: Is she imagining things?	Bildet sie sich Sachen ein? 
spectacular, <br>sensational	spektakuläre <br>sensationell<br>eklatant 
stained, <br>blemished	befleckt 
blind	blind 
to boast, brag	prahlen <br>brüsten (sich) Er prahlt gern mit seinen Erfolgen.<br>Er brüstete sich schon wieder mit seiner Note. 
bowed, stooping	gebeugt 
brand-new	nagelneu 
cheeky	frech Ein freches Kind. [adj] <br>Das Kind war sehr frech. [adv] 
breakneck	halsbrecherisch 
breath-taking	atemberaubend 
brittle, chapped,	spröde 
bullet-proof	kugelsicher 
bumpy, rough, jarring 	holprig 
besides, except, unless	außer 
however	jedoch <br>aber <br>dagegen <br>hingegen <br> wie auch immer 
ph: It is over between us.	Es ist aus zwischen uns. 
in that, <br>as, <br>while 	indem [konj] Du kannst mir helfen, indem du den Tisch deckst. 
conscientious, careful	sorgfältig 
careless <br>untidy 	nachlässig <br>schlampig Sie ist besonders nachlässig und schlampig. 
casual, informal, light hearted	informell, ungezwungen, zwanglos, <br>locker, leger, lässig 
accidental <br>inadvertently <br>casually <br>by chance <br>random	zufällig<br>beiläufig <br>versehentlich 
certain, surely	sicher, bestimmt, gewiss 
lively, alert, feisty, spirited, 	munter, <br>lebendig, <br>lebhaft 
sunny, buoyant	heiter 
childish <br>to fool around	albern 
chubby, plump, snug	mollig 
bye <br>bye-bye <br>cheerio <br>ciao	tschüss [interjection] 
to grant a claim/request	stattgeben 
clear, <br>concrete, <br>transparent 	klar <br>anschaulich Ein anschauliches Beispiel geben. 
clever, bright, sharp, quick	klug, schlau, gescheit 
unskilled, <br>clumsy, <br>awkward, <br>careless, <br>inept	ungeschickt Es war ziemlich ungeschickt von dir. 
coarse, rough <br>uncouth	grob <br>rau 
ph: I did not like it.	Mir hat es nicht gefallen. 
common, joint, shared	gemeinsam Sie haben viel gemeinsam. 
condescending <br>patronizing 	herablassend Sein Ton war sehr herablassend. 
partial, <br>limited, <br>conditioned	bedingt 
self-confident, <br>confident	selbstbewusst<br>zuversichtlich 
confused	verwirrt 
significantly	maßgeblich <br />bedeutungsvoll 
conservative	konservativ 
considerate, thoughtful	rücksichtsvoll 
controversial <br>contentious <br>disputed <br>debatable 	umstritten<br>strittig 
cool, cold	kühl, kalt 
courteous, polite	höflich 
cowardly	feig Es war feige... 
timid, <br>tentative	zaghaft Sei nicht so zaghaft und komm mit! 
crafty, cunning	gerissen 
creepy, spooky, weird	gruselig 
gawking, rubber-necking, curious	schaulustig 
curious, inquisitive, nosy	neugierig 
curious, odd, strange, funny	kurios 
curt, abrupt [behaviour]	schroff, brüsk, abrupt 
cushioned <br>padded <br>upholstered	gepolstert 
cute, dinky	niedlich, putzig 
damaged	beschädigt 
damned, blasted	verdammt, verflixt, verflucht 
dangerous	gefährlich 
dead <br>the death <br>to die 	tot Er ist tot [adj]<br>Der Tod kommt bald [noun] <br>Er wird bald sterben [verb] 
deaf	taub 
to have decayed, <br>decomposed, <br>fallen into ruin	verfallen <br>zerfallen <br>verkommen 
defensive	abwehrend 
sensitive <br>delicate, <br>temperamental 	sensibel <br>empfindlich Sei nicht so grob zu ihm, er ist sehr sensibel. <br>Er ist ein sensibler Junge. 
delicious	sehr lecker <br>köstlich 
delicious, exquisite, wonderful	köstlich 
the demonstration 	die Demonstration -en 
dense, thick, close, watertight	dicht 
problematic	problematisch 
depressed	deprimiert, <br>niedergeschlagen 
religious, devout, believer	religiös, fromm, gläubig 
laborious, <br>onerous, <br>arduous	mühsam, müselig Ein mühsam ausgehandelter Kompromiss. 
difficult, awkward	schwierig <br>umständlich <br>zickig 
Russia <br>Russian [per] <br>Russian [adj] 	Russland <br>der Russe, die Russin, <br>russisch [adj] 
impolite, discourteous, disrespectful	unhöflich 
disgusting, repulsive	ekelig <br>widerlich 
dissatisfied	unzufrieden 
distinctive, pronounced	ausgeprägt 
upset, <br>angered, irritated 	aufgebracht <br>verstimmt Sie war ganz aufgebracht über sein Verhalten. <br>Sie hat ihn mit dieser Bemerkung sichtlich verstimmt. 
doubtful	zweifelhaft 
downhill <br>uphill	bergab, abwärts<br>berauf, aufwärts 
to adopt	adoptieren 
drafty	zugig Es zieht = It is drafty<br><br>NOTE: zügig = quickly, rapid 
incredible, <br>really, a lot, <br>[positive and negative]	doll Das war ja ganz was Dolles. <br>Das Dollste kommt noch ! <br>Ich freue mich ganz doll. 
to accuse 	vorwerfen <br>beschuldigen <br>anklagen 
during, while	während Genitiv :<br>während des Schlafes/Tages<br>während der Vorstellung/Nacht<br>während des Spiels/Festes <br>während der Nächte/Spiele 
each time <br>at the time <br>respectively	jeweils Für die Testfragen gibt es jeweils maximal vier Punkte. <br>Die Vorträge finden vom 10. bis 15. Juli jeweils um 18 Uhr statt. 
each, every 	jede -r/s Das weiß doch jeder. [pron] <br>Ich habe sie jeden Tag besucht. [adj] 
eager, <br>zealous, <br>keen 	eifrig 
earthly	irdisch 
eccentric	exzentrisch 
economical, thrifty	sparsam 
edgy, fidgety, jumpy	kribbelig 
incredible, <br>eerie, <br>sinister, <br>terrible	unheimlich 
efficient, capable, hard-working	effizient <br>tüchtig <br>fleißig 
effortless	mühelos 
cloudy 	bewölkt 
elementary, elemental	elementar 
thin, gaunt, under weight	abgemagert 
embarrassing, awkward	peinlich <br>heikel 
to emphasise, <br>stress 	betonten 
active, employed	tätig 
equal, similar, same, alike, <br>immediately, shortly	gleich 
erect, straight as a rod	kerzengerade 
to volunteer	sich freiwillig melden <br>anbieten 
even if	auch wenn <br>selbst wenn 
everyday, daily	täglich Er arbeitet täglich acht Stunden. [adj] <br>Man sollte täglich ein wenig Sport treiben. [adv] 
exact, neat, clear	gestochen Das ist gestochen scharf. 
to forsee, <br>refrain from	absehen Es ist noch gar nicht abzusehen, wie lange die Arbeit dauern wird. <br>Das Ende des Streiks ist noch nicht abzusehen. <br>Das Ende lässt sich noch nicht absehen. 
exciting	aufregend <br>spannend 
exclusive	exklusiv<br>ausschließlich 
excusable<br><br>That is excusable.	entschuldbar <br>verzeihbar Das ist entschuldbar. 
exhausted	erschöpft <br>verbraucht <br>hundemüde <br>übermüdet 
the praise, <br>commendation	das Lob -e [selten Plur.] Sie möchte gelobt werden 
explosive	explosiv, brisant 
comprehensive, <br>extensive, <br>detailed	ausführlich <br>umfassend <br>umfangreich 
to extinguish <br>erase <br>obliterate	löschen <br>auslöschen 
extraterrestrial <br>alien 	außerirdisch <br>fremd 
extravagant	extravagant<br>verschwenderisch<br> 
fantastic, fabulous, marvellous	fantastisch <br>fabelhaft 
fair, lawful, right	fair, <br>gerecht 
to an acceptable degree, <br>somewhat, rather, alright, not too bad	einigermaßen Es geht mir wieder so einigermaßen. <br>Die Prüfung hat einigermaßen gut geklappt. 
fat	fett, dick, korpulent 
favorable, reasonable, convenient	günstig 
powerless 	kraftlos <br>machtlos 
productive, <br>fertile, abundant, fruitful, yielding, profitable	produktiv<br />ergiebig 
first, <br>at first, <br>only, <br>not until 	erst Erst machst du deine Hausaufgaben. 
in front, forward	voran <br>voraus<br>vorwärts Nur immer voran! = Keep going! 
shocked, stunned, flabbergasted, in a daze	schockiert, <br>verdattert 
flatulent	blähend <br>aufgebläht 
fluent, <br>flowing	fließend Du sprichst fließend Englisch. 
to be followed, chased, hunted	verfolgt 
subsequently,<br>afterwards	anschließend, <br />danach, <br />nachher, <br />hinterher 
mild	mild, gelinde 
foolish, <br>silly, <br>rediculous, <br>laughable	lächerlich <br>läppisch 
that's why, <br>for that reason, <br>therefore	daher <br>darum <br>deshalb <br>deswegen <br>demzufolge <br>folglich <br>somit 
firstly, <br>for the time being 	vorerst Das Projekt wurde vorerst auf Eis gelegt. 
for the sake of	zuliebe Tue es mir zuliebe = Do it for my sake 
foreign, <br>out of town, <br>non-local	ausländisch <br>auswärtig <br>fremd 
forensic 	forensisch <br>gerichtsmedizinisch 
foreseeable	absehbar 
to say nothing <br>keep quiet <br>be silent	schweigen 
freshly caught	fangfrisch 
frightened, anxious, uneasy	bange, ängstlich 
from memory, by heart	auswendig Ich werde das auswendig lernen. 
where from	woher 
furtive, stealthy, sneaking	verstohlen 
the foam, froth	der Schaum Schäume 
gay, lesbian, homosexual <br>vs. <br>humid, muggy [weather]	schwul <br>vs. <br>schwül, feucht 
German-speaking	deutschsprachig 
specific	spezifisch 
valid, acceptable	gültig <br>akzeptabel <br>zulässig <br>triftig 
gracious, merciful, mild	gnädig 
grainy, granular	körnig 
serious	ernsthaft <br>schwerwiegen <br>gravierend NOTE: seriös = respectable, reputable, reliable 
greasy, slimy	schmierig 
great, fantastic, cool 	toll <br>prima <br>großartig <br>cool Du bist toll ! 
grumpy, surly	muffig <br>mürrisch 
corny, worn-out, banal	abgedroschen <br>banal 
halfway through, <br>through the middle 	mittendurch Es gab ein Gewitter und wir flogen mittendurch. 
harmless	harmlos <br>ungefährlich <br>unschädlich 
hazy, misty, murky, steamy	dunstig 
heavily indebted	überschuldet 
helpless <br>at a loss	hilflos <br>ratlos 
hesitant	zögerlich 
high quality/value	hochwertig 
high-carat	hochkarätig 
historic, historical	historisch Der Tag ist historisch. 
hopefully	hoffentlich Hoffentlich ist ihm nichts passiert! 
hopeless	hoffnungslos 
horizontal <br>vertical 	waagerecht <br>horizontal <br><br>senkrecht <br>vertikal 
horrible, atrocious, nasty	scheußlich 
massive <br>enormous <br>huge <br>powerful <br>colossal	massiv <br>enorm <br>riesig <br>gewaltig <br>kolossal 
humble, <br>modest	demütig <br>bescheiden 
surrender, <br>result from 	ergeben Wir ergeben uns. <br>Das wird sich ergeben. 
hungry, hungrily	hungrig 
hurtful	verletzend 
lazy 	faul 
if, <br>as if, <br>whether, <br>as though 	ob Wir gehen spazieren, ob es regnet oder nicht. 
unmoveable, <br>immobile 	unbeweglich <br>immobil 
impressive	eindrucksvoll 
improper <br>indecent <br>unseemly <br>unreasonable <br>inappropriate	ungebührlich<br>unpassend<br>unkorrekt 
in a mood to <br>inclined to	zumute Mir ist heute nicht danach zumute. 
in any case, <br>anyhow, <br>nevertheless 	auf jeden Fall, <br>jedenfalls 
ph: in service, on duty	im Dienst 
finally, <br>eventually, <br>in the end	schließlich <br>endlich <br>letztendlich 
in the middle of	mittendrin Wir wollten einen Film ansehen, wurden aber mittendrin unterbrochen. 
the precaution	die Vorkehrung -en <br>die Vorsichtsmaßnahme -n 
in, into	hinein 
provided that, <br>as long as, <br>in so far as, <br>in as much as 	solange <br />insofern 
unpredictable, <br>incalculable, <br>unforeseen 	unberechenbar <br>unabsehbar 
incessantly, <br>unrelenting, <br>continually	unablässig <br>andauernd 
unimportant<br>inconsequential	unwichtig <br>unbedeutend 
inevitably, <br>invariably 	unweigerlich <br>zwangsläufig Sie kommt jeden Tag unweigerlich zu spät. <br>Computerspiele führen nicht zwangsläufig zu Aggressivität. 
infamous, <br>notorious, <br>feared, <br>dreaded	berüchtigt 
informative	informativ <br>aufschlussreich <br>lehrreich 
ingenious	genial 
inhibited, <br>self-conscious	gehemmt Er verhält sich immer so gehemmt mir gegenüber. 
within, inland, domestic	binnen [präp]Binnen- [prefix] Binnenschiff,Binnenmeer, Binnenmarkt, Binnenwirtschaft 
to inspire, enthuse	inspirieren <br>begeistern 
instead of, in place of	anstatt, statt Er hat den ganzen Nachmittag gespielt, anstatt zu lernen. 
insurmountable <br>cannot be overcome	unüberwindlich 
intolerable	unerträglich<br>unausstehlich 
involuntary, <br>unintentional 	unbeabsichtigt <br>ungewollt <br>nicht freiwillig 
ironic, wry	ironisch 
irregular	unregelmäßig 
irrelevant, <br>besides the point 	nebensächlich 
irresistable	unwiderstehlich 
irreversible, irrevocable	unwiderruflich 
to be annoyed, irritated	ärgern Sie ärgert sich über seine ständige Unpünktlichkeit. 
to be isolated	abgeschieden <br>isoliert 
joking	witzig <br>scherzhaft 
funny, amusing, jolly, cheerful	lustig 
also, likewise, as well	ebenso 
just, simply<br><br>That's just the way it is!	halt Das ist halt so! 
entitled <br>justifiable <br>legitimate	berechtigt 
justified, vindicated	gerechtfertigt 
kind, nice, good, loving 	lieb, nett Du bist ganz lieb. 
kitschy	kitschig 
convenient, opportune	praktisch <br>zweckmäßig <br>gelegen Es ist praktisch [= convenient] 
lame <br>sluggish	lahm 
ph: Either yes or no.	Entweder ja oder nein. 
impossible	unmöglich 
legitimate, lawful, legal	legal <br>legitim<br>gerecht<br>rechtmäßig 
to leak	lecken 
sexy, <br>lecherous, <br>horny, <br>randy, <br>wicked	geil 
to lengthen, extend 	verlängern 
lethargic	träge 
the emotion	die Emotion -en 
liberal	liberal<br>liberaler<br>am liberalsten liberale Ansichten = wide views 
how <br>like <br>such as 	wie 
literal	buchstäblich <br>wörtlich 
live [radio/TV transmission]	live [Radio/Fernsehsendung] 
to revive, <br>resuscitate 	beleben 
local	lokal <br>einheimisch 
start, go<br>left, went, gone, rid of 	los Los, mach schon! <br>Hier ist ja wirklich was los! 
low	niedrig <br>teif 
to assign, allocate, award, <br>pardon 	vergeben 
happy, lucky<br>unhappy, unlucky	glücklich <br>unglücklich 
magical, enchanting	magisch <br>zauberhaft 
mainly, mostly	hauptsächlich, <br>überwiegend, <br>vorwiegend Ihr hauptsächliches Interesse gilt der Natur. [adj] <br>Dieses Produkt wird hauptsächlich von Frauen gekauft. [adv] 
to assert <br>declare <br>maintain <br>contend	behaupten 
treacherous <br>tricky	tückisch ein tückischer Plan. <br>ein tückischer Charakter. 
marvelous, magnificent, delightful, exquisite, delicious, gorgeous	herrlich <br>großartig <br>ausgezeichnet <br>hervorragend 
ph: The traffic is flowing.	Der Verkehr läuft. 
meanwhile	inzwischen <br>mittlerweile <br>unterdessen 
nostalgic, <br>melancholy	nostalgisch <br>melancholisch <br>wehmütig <br>schwermütig 
merely, simply	lediglich Es handelt sich lediglich um eine Ausnahme. 
cheerful, merry, jolly	fröhlich 
middle, midst of, halfway, <br>in the middle of	mitten Er hat sie mitten im Satz unterbrochen. 
one after the next	übernächste 
minus, negative	minus, negativ 
to misappropriate, <br>embezzle	unterschlagen 
moderate	moderat <br>mäßig 
ph: Now more than ever...	Jetzt erst recht... 
motionless	bewegungslos <br>regungslos 
many, much	viel Sie trinkt viel Kaffee. [pron] <br>Er hat viele Freunde. [pron] <br>Dem Patienten geht es jetzt schon viel besser. [adv] <br>Er schläft viel. [adv] 
the filth, dirt	der Schmutz --<br>der Dreck --<br>die Sauerei -n<br>die Schweinerei -n 
dull, cloudy, gray, bleak	trübe 
to rush [hurry]<br>rustle [of leaves]	rauschen Sie ist wütend aus dem Zimmer gerauscht.<br>Die Blätter rauschten im Wind. 
mute, dumb, silent	stumm 
mutual, reciprocal	gegenseitig 
urgent	dringend, <br />eilig 
normally, <br>usually	normalerweise <br>gewöhnlich 
ph: I am not guilty !	Ich bin nicht schuldig ! 
nowhere	nirgendwo, <br />nirgends Sie ist nirgendwo zu finden. 
obedient, submissive, compliant 	gehorsam, fugsam Eltern, Lehrer, Offiziere verlangen bedingungslosen Gehorsam... <br>Ein fügsames Kind. 
objective	objektiv 
obligatory, compulsory	obligatorisch 
aged <br>obsolescent <br>dated	veraltet 
obvious, blatant	offensichtlich Sie hat offensichtlich geträumt. 
specifically, <br>why of all... <br><br>Why does that happen to me? [of all people]<br>Must that be today? [of all days]	ausgerechnet Ausgerechnet mir muss das passieren! <br>Muss das ausgerechnet heute sein? 
of German origin	deutschstämmig Er ist deutschstämmig. 
out <br>off <br>from 	aus 
off, therefrom, thereof	davon Wir haben davon gesprochen. 
often	häufig, oft Er ist häufig bei uns zu Gast. 
old-fashioned	altmodisch 
ph: on one's own...	auf eigene Faust 
on that, for that	daran 
because of...	wegen + Gen. oder Dat. Wegen des schlechten Wetters wurde...<br>Hat schon einer wegen des Autos / dem Auto angerufen? 
on the one side, <br>on the other side	einerseits <br>andererseits Einerseits wollte er helfen, andererseits wagte er es nicht.<br> 
the workdays	die Werktagen [pl] Wir arbeiten an Werktagen 
on, about, at, an, by, in, to, upon	an 
one and a half	anderthalb anderthalb Stunden &#8594; an hour and a half 
one before the previous/last	vorletzte 
one, an, a	ein <br>man Man soll zuhören = One should listen 
sole, <br>single, <br>individual 	eigen <br>einzeln <br>einzig, individuell 
open, frank, exposed	offen 
usually, <br>ordinary	gewöhnlich 
opportune	opportun 
or	oder Es gibt nur Sieger oder Verlierer. 
verbal, oral, spoken	verbal, mündlich, wörtlich 
out, get out [Imperative]	Raus ! [Imperative] 
out <br>out of <br>out here <br>forth	heraus Heraus mit dir (in den Garten)! Ist das neue Lexikon schon heraus? 
the outer, <br>exterior, <br>external	das Äußere -- 
outrageous, <br>unheard of, <br>unprecedented	entsetzlich <br>empörend <br>unverschämt <br>unerhört Ich bin empört !<br>Das ist unverschämt ! 
ph: All sorts of people	Alle möglichen Leute 
to cooperate, participate	kooperieren <br>mitmachen <br>zusammenarbeiten 
past, bygone, elapsed	vergangen Wir sollten uns nicht über Vergangenes streiten. 
to be perforated	gelöchert<br>perforiert 
to be permissible <br>permitted	zulässig <br>gestattet <br>erlaubt 
unmoved <br>persevering, constant, incessant	unentwegt 
philosophical	philosophische 
pitiless, <br>merciless	erbarmungslos 
to be plagued by s.t. <br>bothered	geplagt 
pleasant	angenehm 
please [polite request]	bitte Bitte sei pünktlich! 
to be pleasing, favorable	gefällig 
plus, positive	plus Wirtsch: ein Plus erwirtschaften.<br>Vorteil: Seine Sprachkenntnisse sind ein entscheidendes Plus.<br>Math.Pluszeichen: Vor eine Zahl ein Plus setzen.<br>Phys: Positive Ladung der Strom fließt von Plus nach Minus. 
pointless, futile	zwecklos <br>sinnlos <br>müßig <br>vergebens <br>vergeblich <br>umsonst 
pompose, name-dropping	wichtigtuerei 
pompous, snobbish, flatulant	wichtigtuerisch <br>snobistisch<br>aufgeblasen 
poor 	arm [ohne Geld, Vermögen] 
noble, classy	nobel, edel 
practiced	geübt 
numb, callous, insensitive, <br>without feeling	gefühllos 
present, <br>current, <br>momentary	derzeitig <br />zurzeit <br />gegenwärtig <br />aktuell <br />momentan 
presumed, <br>suspected 	mutmaßlich <br>vermutlich Das ist der mutmaßliche Täter. 
prior to that, <br>before it, <br>in front	davor 
prompt <br>right away <br>direct 	prompt <br>sofort <br>unverzüglich <br>unmittelbar <br>schnurstracks <br>direkt 
drawn out lengthy <br />protracted <br />tedious <br />interminable 	langwierig 
the pride	der Stolz -- 
to provoke	provozieren 
psychological	psychologisch 
punishable	strafbar 
pure, simple, clean	rein <br>pur Das Kleid ist aus reiner Seide. <br>Dieser Antrag ist eine reine Formalität. <br>Das ist reiner/purer Blödsinn ! <br>Ich habe reine Hände. 
queasy, uneasy	mulmig, flau 
questionable	fraglich, fragwürdig 
questionable, arguable	fragwürdig <br>bedenklich 
quick, agile, alert, brisk, deft	flink 
several, quite a few	etliche 
risky, dangerous	gewagt 
reasonable	vernünftig 
suitable <br>appropriate <br>measured 	angemessen <br>entsprechend <br>verhältnismäßig <br>geeignet <br>passend <br>angebracht <br>taugen 
regular, <br>routinely	regulär, <br>regelmäßig 
relentless	schonungslos <br>unermüderlich <br>unaufhaltsam 
reliable <br>dependable	zuverlässig<br>verlässlich 
to reward, remunerate	belohnen, lohnen 
right	recht (s) 
rigid, stiff	starr, steif 
rotten	faul, verfault, verdorben 
rusty	rostig 
inconsiderate <br>ruthless <br>hard-nosed	rücksichtslos 
scaly, flaky	schuppig 
scarlet	scharlachrot 
screwy, daft	bescheuert 
seamless, unbroken	nahtlos 
secret, furtive	heimlich 
secular, <br>non-religious	säkular <br>nicht religiös 
seductive, <br>enticing, <br>tempting 	verführerisch <br>verlockend 
self, <br>itself 	selbst 
feasible 	machbar 
to be separate, <br>apart, <br>detached, <br>severed, <br>divided, <br>isolated 	getrennt 
respectable <br>reliable <br>reputable <br>decent <br>proper 	seriös <br>respektabel <br>zuverlässig<br>solide <br>anständig <br>angesehen <br> 
considerable <br>significant <br>extensive	erheblich 
ph: Of course not.	Natürlich nicht. 
shabby, rotten, mean, lousy	schäbig <br>mies <br>lausig 
shaky, rickety, unsteady	wackelig 
shallow	seicht 
sharp nosed	spitznasig 
shiny, <br>broke [no money]	blank 
to be shocked	schockiert <br>betroffen <br>bestürzt <br>erschüttet 
short-term	kurzfristig 
shy, timid, halfhearted	schüchtern 
bad, evil,<br>sick, ill	übel 
the silence	die Stille -n 
silly, stupid	blöd 
simple <br>plain	einfach <br>schlicht 
simultaneous, <br>at the same time	gleichzeitig, zugleich 
single, unmarried	ledig 
skeptical	skeptisch 
skilled <br>expert <br>clever	geschickt <br>gewandt 
slack, drooping, flabby, limp, feebly	schlaff 
sleek, snappy, stylish	schnittig 
sleek, supple, agile, lithe, adaptable	geschmeidig Sie bewegt sich geschmeidig wie eine Katze. 
sleepy, drowsy	schläfrig <br>müde 
slight, low, slim, modest	gering 
slim, slender	schlank 
slimy, sticky, mucous	schleimig 
smart, neat	schick <br>adrett <br>gepflegt <br>flott 
clever, smart, sharp, shrewd, cunning	schlau <br>raffiniert 
smooth, flat, glossy <br>slippery 	glatt 
arrogant<br>conceited<br>smug <br>vain 	arrogant <br>überheblich <br>selbsgefällig <br>eingebildet 
snug, secure	geborgen 
sober <br>austere <br>empty-stomached	nüchtern 
sociable, gregarious	gesellig 
soft as velvet	samtweich 
soft, gentle	weich<br>sanft<br>zärtlich 
some	einige, manche 
sometime, someday	irgendwann 
somewhere	irgendwo 
sour, acidic, pickled <br>angry	sauer 
to occupy, use, reserve, <br>document	belegen Diese beiden Plätze sind schon belegt. <br>Ein Brot mit Wurst belegen. 
squeaky	piepsig, quietscht 
flat/stale [taste]	schal Das Bier ist schal. 
it is too! <br>still, yet	doch Ich habe es ihm verboten, aber er hat es doch gemacht. [adv] Der Geist ist willig, doch das Fleisch ist schwach. [conj] 
hello	hallo <br>moin [Norddeutsch] 
selfish, stingy, mean	geizig <br>knauserig 
stocky, solid	stämmig 
strange, odd, curious	merkwürdig, seltsam 
stubborn, <br>obstinate	stur <br>dickköpfig <br>bockig 
dumb, <br>stupid, <br>foolish 	dumm <br>blöd <br>doof <br>leichtsinnig <br>töricht 
nitpicky, pedantic	spitzfindig, pedantisch 
sudden, abrupt	plötzlich, <br>schlagartig, <br>abrupt 
enough, <br>sufficient, <br>adequate	genug, genügend, <br>hinreichend, <br>ausreichend, <br>adäquat 
anything	irgendetwas 
ph: I will make a mental note of it.	Ich werde es im Kopf behalten. <br>Ich werde das auswendig lernen. 
sunny	sonnig 
superfluous	überflüssig 
the supporting actor/actress	der Nebendarsteller --<br>die Nebendarstellerin -nen 
sure <br>certain <br>safe <br>secure <br>reliable <br>confident	sicher 
surprising	überraschend 
fast, <br>quick, <br>swift, <br>rapid, <br>speedy	schnell,<br>zügig, <br>rasant, <br>rasch 
symbolic	symbolisch 
tall (person)	groß, <br>hochgewachsen 
tame, obedient, moderate	zahm 
temporary, <br>intermittent, <br>sporadic	vorübergehend <br>zeitweilig <br>sporadisch 
gentle, <br>tender, <br>delicate, <br>sensitive	zart <br>zärtlich 
terrible, <br>horrible 	entsetzlich <br>furchtbar <br>fürchterlich <br>grausam <br>schrecklich 
thin <br>skinny	dünn <br>schmal <br>mager 
freely, <br>of course, <br>naturally	freilich <br>natürlich 
to disgust	ekeln <br>anekeln Der schlechte Geruch ekelte mich an. 
that	jene -r/s Jener Hund <br>Jene Katze <br>Jenes Pferd 
to, toward, in, too, closed, off, shut, with	zu 
together, altogether, combined	zusammen, samt, beisammen Lasst uns das zusammen tun! 
the toll [road] 	die Maut -en 
to be torn open	aufgerissen 
total	total 
tough, tenacious	zäh 
to be trained, <br>qualified, <br>educated	ausgebildet 
to be trapped <br>locked in 	eingeschlossen 
tricky	knifflig <br>verflixt <br>verzwickt <br>raffiniert 
unapproachable <br>aloof <br>remote	unnahbar 
unavoidable	unvermeidlich 
unbearable <br>intolerable <br>unexceptable	unerträglich 
unconscious <br>senseless	bewusstlos 
unexpected	unerwartet 
unfair, unjust	ungerecht 
unlucky, <br>unfortunate	schade<br>unglücklich<br> 
uninvolved <br>indifferent	unbeteiligt 
unique	einzigartig 
universal	universal 
to be unmentioned	unerwähnt 
unproductive	unproduktiv 
unreal	unwirklich 
unrelenting, <br>adamant 	unvermindert <br>unnachgiebig <br>unerbittlich 
unshakable	unerschütterlich 
unusual, remarkable, extraordinary, exceptional	ungewöhnlich<br>außergewöhnlich <br>außerordentlich 
to go up <br>upstairs	herauf Ich gehe herauf 
dynamic <br>brisk	dynamisch <br>zackig <br> 
tasteless	geschmacklos 
upright, erect	aufrecht 
ph: What is going on? <br>What is wrong?	Was ist los? 
ph: It would appear so.	Es würde so erscheinen. 
likeable, nice, pleasant <br>sympathetic	sympathisch <br>nett 
useless	nutzlos 
absolutely, utterly	absolut 
vague	vage 
valid, substantial, well-founded	stichhaltig Wir können stichhaltige Beweise vorlegen. 
valuable, precious	wertvoll, kostbar 
versatile	vielseitig <br>vielfältig 
intense	intensiv 
vulnerable 	verletzlich <br>verwundbar 
warm	warm 
limp, weak	schlapp 
limited 	beschränkt <br>begrenzt 
when	wann 
where	wo 
where to	wohin 
what, <br>what about 	was, wovon, worüber Was ist das ? <br>Wovon sprichst du ? <br>Worüber redet ihr ? 
to itch <br>scratch 	jucken <br>kratzen 
to be winking [with the eye]	augenzwinkernd 
